incident_type,location,date,time,summary,disposition,interesting,month_year
Information,9500 Gilman Drive,7/13/24,7:51 AM,"Per San Diego Police, received call from Chula Vista Police regarding a possible psych subject, rambling and stating ""Marcy"" needed assistance from UCSD Police at room 224",Information Only,t,Jul-24
Injury,La Estancia Hotel,7/13/24,8:25 AM,Guest slipped and fell in shower,Referred to Other Agency,f,Jul-24
Injury,Sio Pier,7/13/24,9:36 AM,Adult male stung by stingray,Report Taken,t,Jul-24
Petty Theft - Micro Mobility Device,Mesa Verde Hall,7/13/24,10:28 AM,"Secured e-scooter stolen, loss $600.00",Report Taken,f,Jul-24
"Disturbance, Psych Subject",Trolley - La Jolla Health Station,7/13/24,11:47 AM,Reporting party advised he is requesting mental health resources,Service Provided,t,Jul-24
Information,Torrey Pines Glider port,7/13/24,4:02 PM,Via 911; caller requesting parking department,Disposition Information Only,f,Jul-24
Mental Health Detention,Che Café,7/13/24,5:41 PM - 7:49 PM,Non-affiliate male having suicidal ideations,Transported to Hospital,f,Jul-24
Vandalism,Parking Lot P510,2/26/24,5:50 AM - 6:30 AM,"Unknown suspect(s) used unknown means to damage ignition of victim's vehicle, cost of damage $300.00",Report Taken,t,Feb-24
Vandalism,South Parking Structure,2/26/24,10:00 PM - 8:00 AM,"Unknown suspects used unknown mean's to shatter window of victim's vehicle, cost of damage $200.00",Report Taken,t,Feb-24
Assist Other Agency,Hopkins Parking,2/26/24,11:06 AM,US Marshals serving arrest warrant,Service Provided,t,Feb-24
Petty Theft of Micro Mobility Device,Theatre District,2/26/24,9:10 AM - 10:30 AM,"Secured electric scooter stolen, loss $799.99",Online Report,f,Feb-24
Petty Theft,Regents Road,2/26/24,12:00 AM - 11:59 PM,"Missing amazon package, loss $150.00",Online Report,f,Feb-24
Citizen Contact,Mandeville Center,2/26/24,1:38 PM,Adult male taking video/pictures of reporting party's backside,Service Provided,t,Feb-24
Vandalism,Eckart Building,2/26/24,1:42 PM,"Graffiti on roof top, cost of damage unknown",Report Taken,f,Feb-24
Information,Genesee Avenue,2/26/24,2:17 PM,Hospital patient calling 911,Logged Event,f,Feb-24
Mental Health Detention,Che Café,2/26/24,2:40 PM,Female student having suicidal ideations,Transported to Hospital,f,Feb-24
Information Only,Scripps Memorial Hospital,2/26/24,5:35 PM,"Via 911; reporting party is patient, wants to leave hospital",Referred to Other Agency - Scripps Memorial Hospital,f,Feb-24
Excessive Alcohol/Drug Public: Overintoxication,Computer Science and Engineering Building,2/26/24,6:01 PM - 6:34 PM,Intoxicated male passed out on floor of men's restroom,Transported to Hospital,t,Feb-24
Petty Theft - Micro Mobility Device,Frankfurter Hall,2/26/24,5:00 PM - 6:00 PM,"Secured electric scooter stolen, loss $900.00",Report Taken,f,Feb-24
Grand Theft - Micro Mobility Device,Applied Physics & Mathematics,2/26/24,5:50 PM - 6:50 PM,"Secured electric scooter stolen, loss $1,200.00",Report Taken,f,Feb-24
Suspicious Circumstances,Information Center North Point Entrance,2/26/24,7:49 PM,"School bus parked in round about, caller thinks driver is claiming to be a shuttle driver",Gone On Arrival,t,Feb-24
Suspicious Circumstances,Miramar Street,2/26/24,7:51 PM - 8:55 PM,Unknown subject(s) sprayed a residential hallway with a dry chemical fire extinguisher,Report Taken,t,Feb-24
Person Down,La Jolla Village Drive/ Villa la Jolla Drive,2/26/24,8:06 PM,"Per passerby, male covered with a jacket and hoody, laying on the ground at bus stop",Gone on Arrival,t,Feb-24
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,2/26/24,5:30 PM - 8:00 PM,"Unsecured electric scooter stolen, loss $600.00",Report Taken,f,Feb-24
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,2/26/24,5:30 PM - 8:00 PM,"Secured electric scooter stolen, loss $360.00",Report Taken,f,Feb-24
Citizen Assist,Brisa,2/26/24,9:29 PM,Subject needs assistance exiting building,Cancelled,f,Feb-24
Report - Crime Against Property,Ridge Walk Academic Building,2/28/24,5:53 PM,Protest stickers placed inside two different elevators,Report Taken,f,Feb-24
Unknown Trouble,One Miramar Street,2/1/24,12:12 AM,Reporting party hears what sounds like a lady crying,Unable to locate,f,Feb-24
Noise Disturbance,Viento,2/1/24,1:54 AM,Loud signing and moving chairs,Referred to Student Conduct,f,Feb-24
Noise Disturbance,Seventh College West #2,2/1/24,2:30 AM,"Group outside of building talking and laughing loudly for the past few hours, ongoing issue",Unable to locate,f,Feb-24
Petty Theft,Epstein Family Amphitheater,2/1/24,6:22 AM,"Non-affiliate adult male stole weather equipment, loss $204.71",Report Taken,f,Feb-24
Citizen Contact,UCSD Police Department,2/1/24,11:01 AM,Female requesting assistance with fix it ticket,Service Provided,f,Feb-24
Citizen Contact,UCSD Police Department,2/1/24,11:55 AM,Identity verification for out of state criminal case,Service Provided,f,Feb-24
Grand Theft,RIMAC,2/1/24,11:35 AM - 11:50 AM,"Secured bicycle stolen, loss $1,600.00",Online Report,f,Feb-24
Suspicious Person,RIMAC,2/1/24,1:58 PM,Unknown male taking pictures of female that was walking in front of him,Unfounded,t,Feb-24
Suspicious Circumstances,Keeling Apartments,2/1/24,11:00 PM,"Unknown person(s)  posted a note that stated ""be careful of this delusional Israeli Zionist",Online Report,t,Feb-24
Petty Theft,Atlantis Hall,2/1/24,8:00 PM - 12:00 PM,"Secured bicycle stolen, loss $220.00",Report Taken,f,Feb-24
Injury,Douglas Apartments,2/1/24,5:28 PM,Female cut her hand while washing dishes,Referred to Other Agency - San Diego Fire Department,t,Feb-24
Noise Disturbance,Thurgood Marshall Res Hall O,2/1/24,11:19 PM,Group talking loudly for past 30 minutes,Unable to locate,f,Feb-24
Unknown Trouble,Villa La Jolla Drive,2/1/24,11:40 PM,Reporting party hears someone screaming from southbound bus stop across from Veterans Hospital entrance,Referred to Other Agency - San Diego Fire Department,f,Feb-24
Disturbance - Party,TDLLN - Sankofa,2/10/24,12:00 AM,"Group having party on unoccupied floor, alcohol involved",Referred to Student Conduct,t,Feb-24
Disturbance,Charles David Keeling Apartments 1,2/10/24,12:11 AM,"Noise coming from above apartment, sounds like fighting or someone falling",Referred to Student Conduct,t,Feb-24
Noise Disturbance,Artesa,2/10/24,12:18 AM,Loud laughing,Referred to Student Conduct,f,Feb-24
UC Policy Violation,Seventh College East #4,2/10/24,12:46 AM,Smoking contact,Referred to Student Conduct,f,Feb-24
Disorderly Conduct: Public Intoxication,Center Hall,2/10/24,1:21 AM,Young adult male under influence of intoxicating liquor and unable to care for self or others,Detention Only,f,Feb-24
Noise Disturbance,Seventh College East #1,2/10/24,1:30 AM,Loud yelling and talking,Disposition Referred to Student Conduct,f,Feb-24
Noise Disturbance,Justice Lane,2/10/24,1:57 AM,Vehicle playing loud music,Unable to Locate,f,Feb-24
Disorderly Conduct: Public Intoxication/ Outside Agency Arrest Warrant,Regents Road/Miramar Street,2/10/24,10:58 AM,Original call for subject laying on the sidewalk,Report Taken,f,Feb-24
Injury,Warren Field,2/10/24,12:56 PM,Adult male complaining of pain in ankle; soccer related injury,Transported to Hospital,f,Feb-24
Disturbance,Mandeville Lane,2/10/24,1:05 PM,"Verbal argument, open line, subject heard saying ""get off bus…someone call police""",Service Provided,t,Feb-24
Grand Theft - Micro Mobility Device,"One Miramar Street, Building 3",2/10/24,10:00 AM - 2:00 PM,"Victim left apartment door propped open while doing laundry and returned to find electric bicycle missing from just inside apartment, loss $1680.98",Report Taken,t,Feb-24
Found Property,Chevron,2/10/24,3:12 PM,Wallet belonging to student,Service Provided,f,Feb-24
Welfare Check,Price Center West - The Trove,2/10/24,4:11 PM,"North side of location, unknown subject sitting on the floor, yelling nonsensical statements",Field Interview,t,Feb-24
Marijuana Contact,Marea,2/10/24,5:49 PM,Odor of marijuana coming from unit above,Referred to Student Conduct,f,Feb-24
Missing Vehicle,South Parking Structure,2/10/24,10:21 PM,"Reporting party unable to locate vehicle, unsure if looking in correct garage",Service Provided,f,Feb-24
Battery - Inappropriate Touching,UCSD Medical Center - East Campus,2/10/24,5:30 PM,Patient grabbed groin area of nurse,Information Only,t,Feb-24
Attempted Assault,UCSD Medical Center - Hillcrest,2/10/24,7:30 PM,Patient threw IV pole at nurse,Information Only,t,Feb-24
Noise Disturbance,Oceania Hall,2/11/24,12:06 AM,"Girls screaming, not in distress",Referred to Student Conduct,f,Feb-24
Noise Disturbance,Thurgood Marshall Res Hall,2/11/24,12:29 AM,Loud banging and stomping,Referred to Student Conduct,f,Feb-24
Citizen Assist,Interstate 5/ Carmel Valley Rd,2/11/24,2:53 AM,Male requesting location of a hospital other than UCSD,Service Provided,f,Feb-24
Noise Disturbance,Seventh College West,2/11/24,2:57 AM,Music coming from common area,Referred to Student Conduct,f,Feb-24
Excessive Alcohol: Overinoxication in Residence,Stewart Hall,2/11/24,3:59 AM - 4:44 AM,Intoxicated female student unable to stand on her own,Disposition Transported to Hospital,t,Feb-24
Welfare Check,Torrey Pines Gliderport,2/11/24,7:13 AM,Male reporting his spouse is having suicidal ideations,Referred to Other Agency - San Diego Police Department,t,Feb-24
Welfare Check,Trolley - Central Campus Station,2/11/24,12:12 PM,Subject in restroom for long time,Checks OK,f,Feb-24
Suspicious Circumstances,Marshall Upper Apartments,2/11/24,12:18 PM,"Report of unknown minor female, entered apartment through unlocked side door, went to bathroom and sprayed fabreeze, when questioned why there, subject only nodded back, subject was possibly intoxicated or having mental health episode, no report desired",Service Provided,t,Feb-24
Citizen Contact,UCSD Police Department,2/11/24,12:43 PM,Property pick-up,Service Provided,f,Feb-24
Disturbance,Mesa Nueva,2/11/24,1:43 PM,Group of trick skaters,Will Cooperate,f,Feb-24
Campus Security Authority Report,Alvarado Hospital,2/11/24,2:08 PM,Psychiatric patient grabbed crotch of nurse,Information Only,t,Feb-24
Petty Theft,Viento,2/11/24,5:10 PM,"Secured bicycle stolen, loss $900.00",Report Taken,f,Feb-24
Noise Disturbance,Capa,2/11/24,10:36 PM,Loud music coming from 9th or 10th floor,Unable to Locate,f,Feb-24
Noise Disturbance,Tuolumne Apartments,2/11/24,10:36 PM,Subjects outside building talking and laughing loudly,Referred to Student Conduct,f,Feb-24
Petty Theft,Kaleidoscope,2/11/24,11:27 PM,"Secured bicycle stolen, loss $1,035.00",Report Taken,f,Feb-24
Medical Aid,Moores Cancer Center,2/28/24,6:32 PM,Medical transport,Referred to Other Agency - San Diego Fire Department,f,Feb-24
Trespassing,UCSD Medical Center - Alvarado Hospital,2/11/24,2:05 AM,Subject causing disturbance inside emergency room lobby,Referred to Other Agency - San Diego Police Department,t,Feb-24
Welfare Check,RW Academic Building - Showa Ramen,2/12/24,12:44 AM,"Passerby saw a male who fell off scooter and was bleeding from face, male stated he was fine and walked away",Unable to Locate,t,Feb-24
Burglary / Petty Theft - Micro Mobility Device,Goldberg Apartments,2/12/24,2:30 PM - 8:30 PM,"Secured electric scooter stolen from bike cage, loss $506.41",Report Taken,f,Feb-24
Property Damage,Oceania Hall,2/12/24,1:50 AM - 2:15 PM,"Student attempted to disarm fire alarm, causing damage",Report Taken,t,Feb-24
Trespass,Parking Lot P671,2/12/24,2:29 AM,Subject sleeping in vehicle,Field Interview,f,Feb-24
Welfare Check,Gilman Parking,2/12/24,2:56 AM,Subject sleeping in vehicle,Checks OK,f,Feb-24
Illegal Camping,Robert Paine Scripps Forum,2/12/24,8:14 AM,"Report of camp/tent set up, unknown if occupied",Field Interview,f,Feb-24
Medical Aid,Thornton Pavilion,2/12/24,8:38 AM,Patient stating they are being held against her will,Referred to Other UCSD Department - Thornton Hospital Staff,t,Feb-24
Medical Aid,Thornton Pavilion,2/12/24,9:37 AM,"Same patient from incident 2402120022, sounds confused",Referred to Other UCSD Department - Thornton Hospital Staff,f,Feb-24
Report - No Crime,Parking Lot P112,2/12/24,9:37 AM,"Reporting party found parked vehicle with damage, caused by fallen tree,                                          related to case 2024-0301",Referred to Other UCSD Department - Thornton Hospital Staff,t,Feb-24
Petty Theft,Torrey Pines Center South - Parking,2/12/24,Unknown,"Secured bicycle stolen, loss $150.00",Online Report,f,Feb-24
Vandalism,Epstein Family Amphitheater,2/12/24,5:00 PM - 11:00 PM,"Graffiti inside men's restroom, cost of damage $100.00",Report Taken,f,Feb-24
Embezzle Property,Ridge Walk Academic Building,2/12/24,Unknown,Former staff member failed to return UC San Diego owned computer,Report Taken,t,Feb-24
Grand Theft,Ridge Walk Academic Building,2/12/24,Unknown,"Eight laptops missing from inventory, loss $6,169.00",Report Taken,t,Feb-24
Suspicious Circumstances,La Jolla Village Drive,2/12/24,12:31 PM,"Reporting party saw city bus with flashing sign ""911 call police"" and ""emergency""",Referred to Other Agency - San Diego Police Department,t,Feb-24
Medical Aid,Moores Cancer Center,2/12/24,1:20 PM,Patient having reaction to medication,Referred to Other Agency - San Diego Fire Department,f,Feb-24
Welfare Check,UCSD Residential Area,2/12/24,4:27 PM,"Student decided to not terminate pregnancy, now being pressured and harassed by father of fetus and his family",Unable to Locate,t,Feb-24
Fire Alarm,Tuolumne Apartments,2/12/24,7:33 PM,Burnt food,Checks OK,f,Feb-24
Found Property,UCSD Police Department,2/12/24,8:10 PM,Found student property turned into officer,Service Provided,f,Feb-24
Citizen Flagdown,Parking Lot P702,2/12/24,8:52 PM,Request for directions,Service Provided,f,Feb-24
Injury,Scholars Ln,2/12/24,10:09 PM - 10:46 PM,Student injured knee while playing volleyball,Transported to Hospital,f,Feb-24
Suspicious Person,Halicioglu Data Science Institute,2/12/24,11:28 PM,"Unknown subject seen in office space, left when they saw custodian",Unable to Locate,t,Feb-24
UC Policy Violation,Cala,2/13/24,12:11 AM,Smoking contact,Referred to Student Conduct,f,Feb-24
Suspicious Vehicle,One Miramar Street - Parking Garage,2/13/24,1:23 AM,Vehicle with lights on,Checks OK,f,Feb-24
Marijuana Contact,Marea,2/13/24,1:34 AM,Odor of marijuana,Referred to Student Conduct,f,Feb-24
Noise Disturbance,Mesa Verde Hall,2/13/24,1:54 AM,Loud yelling and playing,Quiet on Arrival,f,Feb-24
Drug Law Violation Arrest/ Outside Agency Warrant Arrest,Trolley - Central Campus Station,2/13/24,2:49 AM,Arrested subject contacted when officer observed him and another male acting suspicious upon seeing the officer,Closed By Adult Arrest,t,Feb-24
Hazard Situation,Israni Biomedical Research Facility,2/13/24,7:17 AM,Transporter possibly leaking gas or steam coming from valve area,Checks OK,f,Feb-24
Disturbance,Price Center West - Starbucks,2/13/24,7:42 AM,"Unknown adult female bothering students, left area, reporting party concerned the female may return",Information Only,t,Feb-24
Welfare Check,Thornton Pavilion,2/13/24,7:50 AM - 8:50 AM,Patient eloped in last hour with IV still in arm,Information Only,t,Feb-24
Property Damage,Mesa Apartments Central,2/13/24,2:15 PM,Glass door of UC Vehicle shattered when caught on a mound of dirt,Report Taken,t,Feb-24
Welfare Check,Price Center East,2/13/24,1:48 PM,"Older adult male, rambling and asking for help to the Chancellors house",Checks OK,t,Feb-24
Welfare Check,UCSD Residential Area,2/13/24,2:40 PM,"Student previously on mental health detention, has not shown up for class",Service Provided,t,Feb-24
Grand Theft,Urey Hall,2/13/24,12:45 PM - 1:45 PM,"Unknown suspect stole victim's unattended backpack that contained multiple electronic items, loss $1,710.00",Report Taken,f,Feb-24
Suspicious Person,Library Walk/ Lyman Walk,2/13/24,3:48 PM,"Subject sitting on grass, smoking and yelling at people",Information Only,t,Feb-24
